POINT_ID,LOCALRANK,COUNTYRANK,REGIONRANK,NAME,Y2013,Y2014,Y2015,Y2016,Y2017,TOTAL,YEARLYAVG
82070527,1,153,518,Eureka Ave @ Fort St,15,14,14,25,23,91,18.2
82068504,2,383,1182,Ford Ave @ Fort St,6,16,11,16,9,58,11.6
82069981,3,551,1601,Fort St @ Oak St,8,6,10,16,8,48,9.6
82072658,4,688,1939,Pennsylvania Ave @ Quarry Rd,11,5,10,8,8,42,8.4
82067150,5,768,2152,Fort St @ Old Goddard Rd,4,7,12,5,11,39,7.8
82068393,6,871,2397,Biddle Ave @ Ford Ave,7,9,5,8,7,36,7.2
82070498,7,950,2578,Eureka Ave @ 17th St,5,8,6,6,9,34,6.8
82070483,8,1404,3656,Eureka Ave @ 12th St,9,4,5,6,2,26,5.2
82069881,9,1404,3656,Biddle Ave @ Oak St,3,6,6,4,7,26,5.2
82069938,10,1470,3823,12th St @ Oak St,9,4,3,2,7,25,5
82070430,11,1553,4018,Eureka Ave @ 3rd St,6,7,3,3,5,24,4.8
82070009,12,1829,4709,Biddle Ave @ Elm St,5,0,8,4,4,21,4.2
82068442,13,1939,4951,Ford Ave @ 9th St,2,6,4,4,4,20,4
82068460,14,2195,5538,Ford Ave @ 12th St,3,4,6,2,3,18,3.6
82067986,15,2195,5538,Biddle Ave @ Alkali Ave,1,5,4,3,5,18,3.6
82070424,16,2355,5874,Biddle Ave @ Eureka Ave,3,3,3,6,2,17,3.4
82068735,17,2355,5874,Fort St @ Fort/Ford Turnaround,4,3,2,4,4,17,3.4
82071626,18,2355,5874,Fort St @ Quarry Rd,4,4,2,3,4,17,3.4
82069728,19,2566,6309,Biddle Ave @ Chestnut St,2,5,3,3,3,16,3.2
82068462,20,2566,6309,Ford Ave @ 12th St,5,3,3,2,3,16,3.2
82068484,21,2758,6779,Ford Ave @ 17th St,3,5,1,3,3,15,3
82067148,22,2758,6779,Old Goddard Rd @ 13th St,4,4,1,0,6,15,3
82070436,23,2758,6779,Eureka Ave @ 4th St,5,4,2,2,2,15,3
82069976,24,2758,6779,Oak St @ 22nd St,0,3,1,6,5,15,3
82070155,25,2981,7276,Biddle Ave @ Maple St,2,3,1,5,3,14,2.8
82070286,26,2981,7276,Biddle Ave @ Sycamore St,4,3,3,3,1,14,2.8
82065716,27,2981,7276,Biddle Ave @ Emmons Blvd,3,4,1,5,1,14,2.8
82068466,28,2981,7276,Ford Ave @ 13th St,3,4,1,4,2,14,2.8
82070454,29,3220,7849,Eureka Ave @ 7th St,3,3,3,3,1,13,2.6
82090533,30,3220,7849,Biddle Ave @ Eureka Ave,0,2,0,5,6,13,2.6
82069959,31,3513,8546,Oak St @ 17th St,2,2,3,3,2,12,2.4
82068919,32,3513,8546,Biddle Ave @ Mulberry St,1,7,3,1,0,12,2.4
82068454,33,3513,8546,Ford Ave @ 11th St,1,3,4,1,3,12,2.4
82068483,34,3513,8546,Ford Ave @ 17th St,2,1,2,1,6,12,2.4
82068500,35,3865,9307,Ford Ave @ 23rd St,3,1,3,0,4,11,2.2
82066588,36,3865,9307,Biddle Ave @ Saint John St,3,2,3,0,3,11,2.2
82070011,37,3865,9307,1st St @ Elm St,2,2,3,1,3,11,2.2
82069948,38,3865,9307,Oak St @ 15th St,3,1,3,2,2,11,2.2
82070443,39,3865,9307,Eureka Ave @ 5th St,2,2,3,1,3,11,2.2
82070448,40,3865,9307,Eureka Ave @ 6th St,2,2,2,3,2,11,2.2
82070757,41,4256,10202,Balsam Ave Turnaround @ Fort St,2,1,2,4,1,10,2
82068751,42,4256,10202,Biddle Ave @ Cedar St,1,2,4,1,2,10,2
82068429,43,4256,10202,Ford Ave @ Lindbergh Ave,1,2,1,5,1,10,2
82066917,44,4708,11229,Biddle Ave @ Goddard Rd,2,2,1,2,2,9,1.8
82070019,45,4708,11229,3rd St @ Elm St,2,0,2,1,4,9,1.8
82069924,46,4708,11229,Oak St @ 9th St,1,2,2,2,2,9,1.8
82069894,47,4708,11229,3rd St @ Oak St,3,1,2,1,2,9,1.8
82069898,48,4708,11229,4th St @ Oak St,2,2,5,0,0,9,1.8
82069979,49,5292,12495,Oak St @ 23rd St,1,0,2,1,4,8,1.6
82069551,50,5292,12495,Biddle Ave @ Superior Blvd,3,1,1,0,3,8,1.6
82069486,51,5292,12495,Fort St @ Vinewood Ave,1,1,0,4,2,8,1.6
82067431,52,5292,12495,Fort St @ Baumey Ave,0,1,1,3,3,8,1.6
82068468,53,5292,12495,Ford Ave @ 14th St,1,1,0,4,2,8,1.6
82067932,54,5292,12495,15th St @ Clark St,1,1,3,1,2,8,1.6
82067681,55,5292,12495,16th St @ Antoine St,3,0,1,3,1,8,1.6
82070866,56,5292,12495,Fort St @ Pine St,1,0,1,3,3,8,1.6
82071525,57,5987,14051,Fort St @ Grove St,0,1,3,1,2,7,1.4
82090461,58,5987,14051,Ford Ave @ Electric Ave W,0,1,2,3,1,7,1.4
82072130,59,5987,14051,Quarry Rd @ Ludington Ave,0,2,2,1,2,7,1.4
82072629,60,5987,14051,Pennsylvania Ave @ 17th St,0,3,1,0,3,7,1.4
82090543,61,5987,14051,Pennsylvania Ave @ Central Ave,2,1,0,3,1,7,1.4
82090563,62,5987,14051,Biddle Ave @ Pennsylvania Ave,1,2,1,2,1,7,1.4
82091761,63,5987,14051,Fort St @ Fort/Eureka Turnaround,0,5,0,1,1,7,1.4
82067758,64,5987,14051,Fort St @ Antoine St,2,2,0,3,0,7,1.4
82068446,65,5987,14051,Ford Ave @ Electric Ave,0,2,0,3,2,7,1.4
82068415,66,5987,14051,Ford Ave @ 5th St,0,0,1,3,3,7,1.4
82067388,67,5987,14051,Old Goddard Rd @ 20th St,3,1,2,0,1,7,1.4
82067202,68,5987,14051,Old Goddard Rd @ 23rd St,1,1,3,1,1,7,1.4
82067208,69,5987,14051,Old Goddard Rd @ 16th St,1,2,2,0,2,7,1.4
82066278,70,5987,14051,Biddle Ave @ Bondie Ave,0,2,4,0,1,7,1.4
82065767,71,5987,14051,Emmons Blvd @ 6th St,0,3,0,3,1,7,1.4
82069060,72,5987,14051,4th St @ Walnut St,2,0,2,2,1,7,1.4
82070160,73,5987,14051,3rd St @ Maple St,3,0,1,2,1,7,1.4
82070481,74,5987,14051,Eureka Ave @ 11th St,2,3,2,0,0,7,1.4
82070476,75,6819,16016,Eureka Ave @ Eureka Service Drive,1,2,2,0,1,6,1.2
82070501,76,6819,16016,Eureka Ave @ 18th St,0,0,4,1,1,6,1.2
82070489,77,6819,16016,Eureka Ave @ 14th St,1,2,2,1,0,6,1.2
82070491,78,6819,16016,Eureka Ave @ 15th St,0,2,2,0,2,6,1.2
82070680,79,6819,16016,Biddle Ave @ Pine St,2,1,0,2,1,6,1.2
82070027,80,6819,16016,4th St @ Elm St,2,2,0,2,0,6,1.2
82069904,81,6819,16016,Oak St @ 5th St,1,0,1,3,1,6,1.2
82069034,82,6819,16016,Biddle Ave @ Walnut St,2,2,2,0,0,6,1.2
82069482,83,6819,16016,23rd St @ Vinewood Ave,1,1,2,2,0,6,1.2
82069340,84,6819,16016,Biddle Ave @ Vinewood Ave,2,1,1,1,1,6,1.2
82069364,85,6819,16016,4th St @ Vinewood Ave,1,0,1,2,2,6,1.2
82069742,86,6819,16016,2nd St @ Chestnut St,1,1,0,3,1,6,1.2
82067412,87,6819,16016,13th St @ Baumey Ave,3,2,1,0,0,6,1.2
82067085,88,6819,16016,Goddard Rd @ Harrison Blvd,1,1,2,0,2,6,1.2
82068283,89,6819,16016,Biddle Ave @ Sullivan St,2,1,1,1,1,6,1.2
82068413,90,6819,16016,Ford Ave @ 4th St,0,1,1,0,4,6,1.2
82068487,91,6819,16016,Ford Ave @ 18th St,1,0,2,3,0,6,1.2
82067765,92,6819,16016,10th St @ Hudson St,0,3,1,0,2,6,1.2
82067678,93,6819,16016,15th St @ Antoine St,0,0,3,2,1,6,1.2
82067936,94,6819,16016,16th St @ Clark St,0,1,4,0,1,6,1.2
82067952,95,6819,16016,18th St @ Clark St,1,1,1,3,0,6,1.2
82090593,96,6819,16016,Eureka Ave @ 23rd St,3,1,0,2,0,6,1.2
82072569,97,6819,16016,Biddle Ave @ Pennsylvania Ave,1,1,0,1,3,6,1.2
82072615,98,6819,16016,Pennsylvania Ave @ Electric Ave,0,4,0,0,2,6,1.2
82070852,99,6819,16016,21st St @ Pine St,1,0,1,1,3,6,1.2
82071038,100,6819,16016,Biddle Ave @ Plum St,0,1,2,0,3,6,1.2
